,date,modules,cnt
120,2020-06-26, UXUI-CAREERS-NETWORK,1
121,2020-06-26, UXUI-SP-FE-II,2
122,2020-06-27, UXUI-SP-VIS-I,2
123,2020-06-29, UXUI-FUN-DESIGN-AND-RESEARCH,1
124,2020-06-29, UXUI-FUN-VIS,1
125,2020-06-30, UXUI-SP-FE-II,1
126,2020-07-01, UXUI-UXI-DEVELOP,1
127,2020-07-02, UXUI-TEAM-DEFINE,1
128,2020-07-03, UXUI-FUN-UXD,1
129,2020-07-07, UXUI-ORIENTATION-DT,2
130,2020-07-07, UXUI-TEAM-DEFINE,2
131,2020-07-08, UXUI-FUN-UXD,2
132,2020-07-08, UXUI-FUN-VIS,1
133,2020-07-08, UXUI-PORTFOLIO-I,1
134,2020-07-09, UXUI-FUN-DESIGN-AND-RESEARCH,1
135,2020-07-09, UXUI-FUN-UXD,3
136,2020-07-09, UXUI-SP-FE-II,2
137,2020-07-09, UXUI-TEAM-VIS,1
138,2020-07-09, UXUI-UXI-DEFINE,1
139,2020-07-09, UXUI-UXI-DELIVER,3
140,2020-07-09, UXUI-UXI-DEVELOP,1
141,2020-07-09, UXUI-UXI-DISCOVER,2
142,2020-07-11, UXUI-FUN-VIS,1
143,2020-07-12, UXUI-TEAM-VIS,1
144,2020-07-13, ux-start-today,1
145,2020-07-14, UXUI-FUN-UXD,1
146,2020-07-14, UXUI-TEAM-DEFINE,2
147,2020-07-14, UXUI-UXI-DEFINE,1
148,2020-07-15, UXUI-TEAM-DEFINE,1
149,2020-07-15, UXUI-UXI-DEVELOP,1
150,2020-07-16, UXUI-SP-FE-III,1
151,2020-07-16, UXUI-TEAM-DEFINE,3
152,2020-07-23, UXUI-ORIENTATION-DT,1
153,2020-07-23, UXUI-ORIENTATION-FLEX,1
154,2020-07-23, UXUI-UXI-DELIVER,1
155,2020-07-24, UXUI-FUN-UXD,1
156,2020-07-25, UXUI-TEAM-VIS,1
157,2020-07-26, UXUI-FUN-UXD,1
158,2020-07-28, UXUI-FUN-UXD,1
159,2020-07-28, UXUI-UXI-DISCOVER,1
160,2020-07-29, UXUI-CAP-DELIVER,1
161,2020-07-30, UXUI-FUN-DESIGN-AND-RESEARCH,1
162,2020-07-30, UXUI-FUN-UXD,1
163,2020-07-30, UXUI-UXI-DISCOVER,1
164,2020-07-31, UXUI-UXI-DELIVER,2
165,2020-08-02, UXUI-PORTFOLIO-I,1
166,2020-08-02, UXUI-UXI-DISCOVER,1
167,2020-08-03, UXUI-FUN-DESIGN-AND-RESEARCH,1
168,2020-08-03, UXUI-FUN-VIS,1
169,2020-08-03, UXUI-PORTFOLIO-I,1
170,2020-08-04, UXUI-PORTFOLIO-I,5
171,2020-08-04, UXUI-UXI-DISCOVER,4
172,2020-08-05, UXUI-UXI-DISCOVER,1
173,2020-08-06, UXUI-FUN-UXD,1
174,2020-08-06, UXUI-TEAM-DEFINE,2
175,2020-08-06, UXUI-UXI-DELIVER,1
176,2020-08-08, UXUI-SP-VIS-II,1
177,2020-08-13, UXUI-ORIENTATION-IMMERSION,1
178,2020-08-13, UXUI-PORTFOLIO-I-ASSESS,1
179,2020-08-13, UXUI-TEAM-PRESENT,2
180,2020-08-13, UXUI-UXI-DEVELOP,1
181,2020-08-14, UXUI-TEAM-PRESENT,1
182,2020-08-14, UXUI-TEAM-VIS,2
183,2020-08-15, UXUI-FUN-VIS,1
184,2020-08-15, UXUI-SP-FE-II,1
185,2020-08-17, UXUI-PORTFOLIO-I,1
