date,modules,cnt
2019-06-20, DABC-EXCEL-FOUNDATIONS-1,1
2019-06-20, DABC-TABLEAU-2,1
2019-06-20, DABC-WAY,2
2019-06-21, DABC-CAREERS-PROFESSIONAL-BRANDING,2
2019-06-21, DABC-EXCEL-FOUNDATIONS-2,1
2019-06-21, SQL III,1
2019-06-21, SQL foundations 1,1
2019-06-22, DABC-CAPSTONE-1,1
2019-06-23, DABC-RETAIL-SALES,1
2019-06-24, DABC-EXCEL-FOUNDATIONS-1,1
2019-06-24, DABC-EXCEL-FOUNDATIONS-2,1
2019-06-24, DABC-EXCEL-FOUNDATIONS-3,1
2019-06-24, Tableau,1
2019-06-24, sql foundations 2,1
2019-06-24, sql self sufficiency exam,1
2019-06-25, DABC-PYTHON-1,1
2019-06-26, DABC-EXCEL-FOUNDATIONS-4,2
2019-06-26, DABC-SQL-3,1
2019-06-26, DABC-STATS-EXCEL,1
2019-06-26,ce - Tableau,1
2019-06-28, DABC-EXCEL-FOUNDATIONS-1,1
2019-06-28, DABC-PYTHON-1,1
2019-06-28, DABC-PYTHON-3,1
2019-06-29, DABC-EXCEL-FOUNDATIONS-1,1
2019-06-30, DABC-EXCEL-FOUNDATIONS-2,2
2019-07-01, DABC-WAY,1
2019-07-03, DABC-SQL-3,1
2019-07-05, DABC-EXCEL-FOUNDATIONS-2,2
2019-07-05, Tableau 1,1
2019-07-08, DABC-PYTHON-1,2
2019-07-08, DABC-SQL-EXAM,1
2019-07-08, Tableau 2,1
2019-07-09, DABC-PYTHON-1,1
2019-07-11, DABC-STATS-EXCEL,1
2019-07-12, DABC-EXCEL-FOUNDATIONS-4,1
2019-07-12, DABC-SQL-2,1
2019-07-12, DABC-SQL-3,1
2019-07-12, DABC-STATS-EXCEL,1
2019-07-15, DABC-STATS-EXCEL,1
2019-07-16, DABC-EXCEL-FOUNDATIONS-4,2
2019-07-16, DABC-STATS-EXCEL,2
2019-07-17, DABC-EXCEL-FOUNDATIONS-4,2
2019-07-17, DABC-STATS-EXCEL,1
2019-07-18, DABC-ACE-CASE,1
2019-07-18, DABC-PYTHON-2,2
2019-07-19, DABC-SQL-3,1
2019-07-22, DABC-EXCEL-FOUNDATIONS-2,2
2019-07-22, DABC-PYTHON-1,1
2019-07-23, DABC-CAREERS-PROFESSIONAL-BRANDING,1
2019-07-23, DABC-EXCEL-FOUNDATIONS-2,2
2019-07-24, DABC-EXCEL-FOUNDATIONS-1,1
2019-07-24, DABC-PYTHON-2,1
2019-07-26, DABC-PYTHON-1,1
2019-07-26, DABC-PYTHON-2,1
2019-07-26, DABC-TABLEAU-2,1
2019-07-27, DABC-EXCEL-FOUNDATIONS-2,1
2019-07-27, DABC-TABLEAU-2,2
2019-07-29, Technical Landscape,1
2019-07-30, DABC-PYTHON-1,1
2019-07-30, DABC-RETAIL-SALES,1
2019-07-31, DABC-EXCEL-FOUNDATIONS-2,1
2019-07-31, DABC-RETAIL-SALES,1
2019-08-02, DABC-EXCEL-FOUNDATIONS-2,1
2019-08-02, DABC-EXCEL-FOUNDATIONS-4,1
2019-08-03, DABC-EXCEL-FOUNDATIONS-2,1
2019-08-03, DABC-PYTHON-3,1
