,date,modules,cnt
126,2019-08-10, DSBC-SQL-1,1
127,2019-08-10, DSBC-SUPPORT-VECTOR-MACHINES,2
128,2019-08-10, loop ,1
129,2019-08-11, DSBC-PYTHON-1,1
130,2019-08-12, DSBC-PYTHON-1,1
131,2019-08-12,matting,1
132,2019-08-13, DSBC-PYTHON-3,2
133,2019-08-13, into to course ,1
134,2019-08-14, DSBC-RANDOM-FOREST,1
135,2019-08-15, DSF-ORIENTATION,3
136,2019-08-16, DSF-ORIENTATION,2
137,2019-08-18, DSBC-SQL-FOUNDATIONS-2,1
138,2019-08-19, DSBC-CLASSIFICATIONS,2
139,2019-08-20, DSBC-DATA-VIS-1,1
140,2019-08-20, DSBC-MODEL-PREP,2
141,2019-08-20, old version of sns ,1
142,2019-08-22, DSBC-MODEL-PREP,2
143,2019-08-22, DSBC-STATS-1,1
144,2019-08-23, DSBC-RANDOM-FOREST,1
145,2019-08-23, DSF-ORIENTATION,1
146,2019-08-24, DSBC-JOB-LANDSCAPE,1
147,2019-08-24, DSBC-NETWORKING,1
148,2019-08-25, DSBC-JOB-LANDSCAPE,1
149,2019-08-25, DSBC-MODEL-PREP,2
150,2019-08-25, DSBC-TRIAL-ORIENTATION,2
151,2019-08-26, DSBC-NETWORKING,1
152,2019-08-26, machine learning,1
153,2019-08-26, notebooks,1
154,2019-08-27, DSBC-MODEL-PREP,1
155,2019-08-27, JN,1
156,2019-08-28, DSBC-CAPSTONE-UNSUPER-LEARN,1
157,2019-08-28, DSBC-MODEL-PREP,3
158,2019-08-28, DSBC-NEURAL-NETWORKS,2
159,2019-08-28, DSBC-PYTHON-1,1
160,2019-08-28, DSBC-SQL-1,1
161,2019-08-29, DSBC-FUNDAMENTALS,1
162,2019-08-29, DSBC-NEURAL-NETWORKS,1
163,2019-08-29, DSBC-PYTHON-3,1
164,2019-08-31, DSBC-MODEL-PREP,1
165,2019-09-01, DSBC-ORIENTATION-DSI,1
166,2019-09-02, DSBC-JOB-LANDSCAPE,1
167,2019-09-02, DSBC-MODEL-PREP,1
168,2019-09-02, DSBC-SQL-FOUNDATIONS-1,1
